coverage,auto_accuracy,threshold,n_auto
0.05,0.9994499651644604,0.9995907,27271
0.1,0.9991016097686187,0.9994248,54542
0.15,0.9988388153471942,0.9992017,81813
0.2,0.9983499106201585,0.99890304,109085
0.25,0.9980125553697674,0.9985226,136356
0.3,0.9975615271318303,0.99803,163627
0.35,0.9971293570388375,0.99738425,190898
0.4,0.9966219003529357,0.9965233,218170
0.45,0.995986815568711,0.9953433,245441
0.5,0.9951413945847634,0.9937272,272712
0.55,0.9941796701813103,0.99140936,299983
0.6,0.9929076713877557,0.9880944,327255
0.65,0.9914900458640551,0.98311114,354526
0.7,0.9895415626628811,0.97570133,381797
0.75,0.9872563974693694,0.9643164,409068
0.8,0.9843035247742586,0.94606555,436340
0.85,0.9800177303817209,0.91327995,463611
0.9,0.97345797971814,0.8493095,490882
0.95,0.9627175756967536,0.7155624,518153
1.0,0.9443369849200165,0.26045895,545425
