name,test_support,base,CB-CE,M1,M1+CB-CE
지자체,380113,0.9636,0.9633,0.9652,0.965
경찰청,105991,0.9445,0.9444,0.9484,0.949
한국전력공사,4573,0.6784,0.6816,0.6886,0.6872
고용노동부,5028,0.8019,0.8009,0.8122,0.8091
한국도로공사,1247,0.6226,0.6134,0.6469,0.646
한국철도공사,735,0.6419,0.6268,0.6425,0.6523
교육청,829,0.5527,0.5612,0.5751,0.5818
한국토지주택공사,2285,0.3295,0.3327,0.3674,0.378
한국농어촌공사,294,0.0373,0.1818,0.239,0.3131
국토교통부,3215,0.3973,0.3967,0.4269,0.426
과학기술정보통신부,485,0.4199,0.4231,0.4288,0.4362
한국통신사업자연합회,11472,0.5861,0.5817,0.6056,0.6031
