sido,n,accuracy_base,macro_f1_base,accuracy_final,macro_f1_final
경기도,145922,0.9371856197146421,0.5368659072702003,0.9377407107906964,0.5806867233418692
서울특별시,82371,0.9539158198880674,0.5641744672311815,0.9555426060142526,0.6115761337692633
인천광역시,36913,0.9420529352802536,0.5303207088291391,0.9417549372849674,0.5611867426035773
부산광역시,33026,0.9448919033488766,0.5408525521358425,0.9466480954399564,0.5575394158778514
대구광역시,27921,0.9349951649296229,0.5611003830762847,0.9358547329966692,0.5960671405227402
경상남도,27704,0.9439070170372509,0.6130594926634583,0.9457118105688709,0.6313060531628085
대전광역시,27219,0.9619016128439692,0.5564986488225051,0.9637018259304162,0.5579509494658238
광주광역시,26896,0.957093991671624,0.4672940273744261,0.962559488399762,0.46873211030645123
전북특별자치도,22584,0.9536397449521785,0.557308254280643,0.9532855118668083,0.5912886203720965
충청남도,21478,0.9309060433932396,0.5391401800496266,0.933746158860229,0.5909384528007232
경상북도,20931,0.9430987530457217,0.5947910341735553,0.9463475228130525,0.6407618976593
충청북도,16334,0.9441655442634994,0.561078437650767,0.9450226521366475,0.5833118818124816
울산광역시,15511,0.9087744181548578,0.5202168679840894,0.9231513119721488,0.5261719061598521
전라남도,15425,0.9338087520259319,0.5005842763091516,0.9364019448946516,0.5344665728175176
강원특별자치도,12941,0.9346263812688355,0.5470408548942051,0.9384900703191407,0.5943150289774802
제주특별자치도,6863,0.9580358443829229,0.4604915765375433,0.9631356549613872,0.48261299910096883
세종특별자치시,5386,0.8715187523208318,0.5942037393503544,0.8718900854066097,0.598967662603789
