sido,n,accuracy,macro_f1
경기도,145922,0.9377407107906964,0.5806867233418692
서울특별시,82371,0.9555426060142526,0.6115761337692633
인천광역시,36913,0.9417549372849674,0.5611867426035773
부산광역시,33026,0.9466480954399564,0.5575394158778514
대구광역시,27921,0.9358547329966692,0.5960671405227402
경상남도,27704,0.9457118105688709,0.6313060531628085
대전광역시,27219,0.9637018259304162,0.608673763053626
광주광역시,26896,0.962559488399762,0.5113441203343104
전북특별자치도,22584,0.9532855118668083,0.5912886203720965
충청남도,21478,0.933746158860229,0.5909384528007232
경상북도,20931,0.9463475228130525,0.6407618976593
충청북도,16334,0.9450226521366475,0.5833118818124816
울산광역시,15511,0.9231513119721488,0.5261719061598521
전라남도,15425,0.9364019448946516,0.5344665728175176
강원특별자치도,12941,0.9384900703191407,0.5943150289774802
제주특별자치도,6863,0.9631356549613872,0.7239194986514531
세종특별자치시,5386,0.8718900854066097,0.598967662603789
